split,model,used_features,HR@10,NDCG@10,Recall@10,num_eval_groups,delta_HR@10_vs_baseline,delta_NDCG@10_vs_baseline,delta_Recall@10_vs_baseline,interpretation
test,baseline,user_id + movie_id,0.4288747346072187,0.2467426387942221,0.4288747346072187,942,0.0,0.0,0.0,Reference model without explicit context.
test,time,user_id + movie_id + time context,0.42356687898089174,0.23574346845207614,0.42356687898089174,942,-0.005307855626326963,-0.010999170342145953,-0.005307855626326963,This context group does not improve NDCG@10 over baseline; the signal may be weak or noisy.
test,user,user_id + movie_id + user context,0.42356687898089174,0.23799344945448614,0.42356687898089174,942,-0.005307855626326963,-0.008749189339735952,-0.005307855626326963,This context group does not improve NDCG@10 over baseline; the signal may be weak or noisy.
test,movie,user_id + movie_id + movie context,0.43842887473460723,0.24597218028813683,0.43842887473460723,942,0.009554140127388533,-0.0007704585060852587,0.009554140127388533,This context group does not improve NDCG@10 over baseline; the signal may be weak or noisy.
test,full,user_id + movie_id + time + user + movie context,0.4607218683651805,0.2528671501116509,0.4607218683651805,942,0.031847133757961776,0.006124511317428805,0.031847133757961776,The full context-aware model improves ranking quality compared to baseline.
